nom,line,mode,order,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer,has_tram
Bagneux - Lucie Aubrac,4,METRO,29,48.80354822259104,2.317458362049886,92,1,0,1,1,0,0
Bobigny - Pablo Picasso,5,METRO,1,48.9063655341063,2.4490271414582585,93,0,0,1,0,0,1
Bobigny-Pantin - Raymond Queneau,5,METRO,2,48.89560207433252,2.426308679232036,93,0,0,0,0,0,0
Église de Pantin,5,METRO,3,48.89324469416795,2.413074999597678,93,0,0,0,0,0,0
Hoche,5,METRO,4,48.891495749437304,2.403114154894396,93,1,0,0,0,0,0
Porte de Pantin,5,METRO,5,48.888535337600175,2.3920607143419303,19,0,0,0,0,0,0
Ourcq,5,METRO,6,48.88691595319499,2.386652016759884,19,0,0,0,0,0,0
Laumière,5,METRO,7,48.88520088689033,2.3793117790180993,19,0,0,0,0,0,0
Jaurès,5,METRO,8,48.88311355416086,2.371383333112514,19,0,0,0,0,0,0
Stalingrad,5,METRO,9,48.8841445128949,2.367348121277192,10,0,0,0,0,0,0
Gare du Nord,5,METRO,10,48.87970181695894,2.3572164888604563,10,0,0,0,0,1,0
Gare de l'Est,5,METRO,11,48.876081616617256,2.357982972943156,10,0,0,0,0,1,0
Jacques Bonsergent,5,METRO,12,48.870620926265296,2.361023902048923,10,1,0,0,0,0,0
République,5,METRO,13,48.867687468165165,2.3640990472225725,10,0,0,0,0,0,0
Oberkampf,5,METRO,14,48.864581198067484,2.3685262686038397,11,0,0,0,0,0,0
Richard-Lenoir,5,METRO,15,48.859876937868705,2.371813630476951,11,0,0,0,0,0,0
Bréguet-Sabin,5,METRO,16,48.8562178110506,2.3703346849773035,11,0,0,0,0,0,0
Bastille,5,METRO,17,48.85330031648217,2.3687984466220384,4,0,0,0,0,0,0
Quai de la Rapée,5,METRO,18,48.846427325479766,2.365884650750405,12,0,0,0,0,0,0
Gare d'Austerlitz,5,METRO,19,48.842395852858516,2.3654431802574227,13,0,0,0,1,1,0
Saint-Marcel,5,METRO,20,48.83853898898134,2.3606397867113924,13,0,0,0,1,0,0
Campo-Formio,5,METRO,21,48.835595431233266,2.358468834639247,13,0,0,0,1,0,0
Place d'Italie,5,METRO,22,48.83096622708413,2.35559694336975,13,0,0,0,1,0,0
Charles de Gaulle - Étoile,6,METRO,1,48.87383861478572,2.294995735441831,17,1,0,0,0,1,0
Kléber,6,METRO,2,48.87148941293503,2.293146137248626,16,0,0,0,0,0,0
Boissière,6,METRO,3,48.8668483434173,2.2900328376074373,16,0,0,0,0,0,0
Trocadéro,6,METRO,4,48.86348766501957,2.2874927969664416,16,0,0,0,0,0,0
Passy,6,METRO,5,48.8575315296204,2.2855802300954733,16,0,0,0,0,0,0
Bir-Hakeim,6,METRO,6,48.85388427726308,2.2892963570634604,15,0,0,0,1,0,0
Dupleix,6,METRO,7,48.8504116258067,2.293663726731039,15,0,0,0,1,0,0
La Motte-Picquet - Grenelle,6,METRO,8,48.848765448122315,2.298957096977008,15,0,0,0,1,0,0
Cambronne,6,METRO,9,48.84754311219352,2.3029417283376117,15,0,0,0,1,0,0
Sèvres-Lecourbe,6,METRO,10,48.84564768265073,2.309529610430393,15,0,0,0,1,0,0
Pasteur,6,METRO,11,48.842528387543226,2.3129146804739396,15,1,0,0,1,0,0
Montparnasse Bienvenue,6,METRO,12,48.84213060781436,2.3212187199903807,15,0,0,0,1,0,0
Edgar Quinet,6,METRO,13,48.84090350169825,2.3252865779432965,14,0,0,0,1,0,0
Raspail,6,METRO,14,48.8390661288004,2.3304144712354793,14,1,0,0,1,0,0
Denfert-Rochereau,6,METRO,15,48.83424986732888,2.332803776289825,14,1,0,0,1,1,0
Saint-Jacques,6,METRO,16,48.832857226540206,2.3370965389054956,14,0,0,0,1,0,0
Glacière,6,METRO,17,48.831115947616446,2.343438236678704,13,0,0,0,1,0,0
Corvisart,6,METRO,18,48.82986001331238,2.350611225926166,13,0,0,0,1,0,0
Place d'Italie,6,METRO,19,48.830914982874944,2.356101612721528,13,0,0,0,1,0,0
Nationale,6,METRO,20,48.83323527967617,2.3628041715935075,13,0,0,0,1,0,0
Chevaleret,6,METRO,21,48.83496308210916,2.368081282972743,13,0,0,0,1,0,0
Quai de la Gare,6,METRO,22,48.83700262953923,2.372825013717543,13,0,0,0,1,0,0
Bercy,6,METRO,23,48.840176028121896,2.379463070185257,12,0,0,1,0,0,0
Dugommier,6,METRO,24,48.83903652832887,2.3895997700798097,12,0,0,0,0,0,0
Daumesnil,6,METRO,25,48.839537421644565,2.3961460679154514,12,1,0,0,0,0,0
Bel-Air,6,METRO,26,48.84142733223358,2.400867131995259,12,0,0,0,0,0,0
Picpus,6,METRO,27,48.84510324750185,2.4012745388223746,12,0,0,0,0,0,0
Nation,6,METRO,28,48.84789550545761,2.3958598043279085,12,0,0,0,0,1,0
La Courneuve - 8 Mai 1945,7,METRO,1,48.92037064946693,2.410008476572451,93,0,0,0,0,0,1
Fort d'Aubervilliers,7,METRO,2,48.91475665506255,2.404075377271855,93,0,0,0,0,0,0
Aubervilliers - Pantin - Quatre Chemins,7,METRO,3,48.90375706036556,2.3922205712292195,93,0,0,0,0,0,0
