nom,lines,lat,lon,arrondissement,figure_historique,couleur,ouverte_apres_1980,rive_gauche,has_rer
Crimée,7,48.89158,2.37707,1,0,0,0,0,0
Fort d'Aubervilliers,7,48.91424,2.403785,93,0,0,0,0,0
Jussieu,7 10,48.846052,2.355738,1,0,0,0,0,0
La Courneuve - 8 Mai 1945,7,48.920777,2.410668,93,0,0,0,0,0
Le Kremlin - Bicêtre,7,48.810388,2.361849,94,0,0,0,0,0
Le Peletier,7,48.87472,2.33955,1,0,0,0,0,0
Les Gobelins,7,48.8364,2.35225,1,0,0,0,0,0
Louis Blanc,7,48.881137,2.364839,1,1,1,0,0,0
Mairie d'Ivry,7,48.81112,2.38339,94,0,0,0,0,0
Maison Blanche,7 14,48.822155,2.358531,1,0,1,1,0,0
Pierre et Marie Curie,7,48.81592,2.37789,94,1,0,0,0,0
Place Monge,7,48.84359,2.352279,1,0,0,0,0,0
Poissonnière,7,48.87708,2.34845,1,0,0,0,0,0
Pont Marie,7,48.85329,2.35762,1,0,0,0,0,0
Pont Neuf,7,48.85868,2.34149,1,0,0,0,0,0
Porte d'Italie,7,48.819196,2.360805,1,0,0,0,0,0
Porte d'Ivry,7,48.82096,2.37044,1,0,0,0,0,0
Porte de Choisy,7,48.82032,2.36529,1,0,0,0,0,0
Porte de la Villette,7,48.89709,2.38588,1,0,0,0,0,0
Pyramides,7 14,48.86587,2.33467,1,0,0,1,0,0
Riquet,7,48.88788,2.373578,1,0,0,0,0,0
Sully - Morland,7,48.851425,2.361894,1,0,0,0,0,0
Tolbiac,7,48.826665,2.357678,1,0,0,0,0,0
Villejuif - Léo Lagrange,7,48.803768,2.363927,94,0,0,1,0,0
Villejuif - Louis Aragon,7,48.787175,2.367564,94,0,0,1,0,0
Villejuif - Paul Vaillant-Couturier,7,48.795991,2.368248,94,0,0,1,0,0
Bolivar,7bis,48.880502,2.374922,1,0,0,0,0,0
Botzaris,7bis,48.879552,2.38804,1,0,0,0,0,0
Buttes Chaumont,7bis,48.8785,2.381772,1,0,0,0,0,0
Danube,7bis,48.881808,2.394201,1,0,0,0,0,0
Place des Fêtes,7bis 11,48.87684,2.39296,1,0,0,0,0,0
